Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17,5,171,1,1,1900-01-05 02:00:00,1,19,12,5,9,1900-01-05 07:03:00,1,0,0,1,1,0,20,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,10:08:00,01:04:00,0.093055556,Dropout
1,15,1,9254,1,1,1900-01-06 16:00:00,1,1,3,3,3,1900-01-05 22:05:00,1,0,0,0,1,0,19,0,0,6,6,6,14:00:00,0,0,6,6,6,13666666666666600,0,13:09:00,-0.3,0.054861111,Graduate
1,1,5,9070,1,1,1900-01-05 02:00:00,1,37,37,9,9,1900-01-05 04:08:00,1,0,0,0,1,0,19,0,0,6,0,0,00:00:00,0,0,6,0,0,00:00:00,0,10:08:00,01:04:00,0.093055556,Dropout
1,17,2,9773,1,1,1900-01-05 02:00:00,1,38,37,5,3,1900-01-04 23:06:00,1,0,0,1,0,0,20,0,0,6,8,6,13428571428571400,0,0,6,10,5,12:04:00,0,09:04:00,-0.8,-3.12,Graduate
2,39,1,8014,0,1,1900-01-04 04:00:00,1,37,38,9,9,1900-01-05 21:05:00,0,0,0,1,0,0,45,0,0,6,9,5,12333333333333300,0,0,6,6,6,13:00:00,0,13:09:00,-0.3,0.054861111,Graduate
2,39,1,9991,0,19,1900-01-05 13:01:00,1,37,37,9,7,1900-01-04 18:08:00,0,0,1,1,1,0,50,0,0,5,10,5,11857142857142800,0,0,5,17,5,11:05:00,5,16:02:00,00:03:00,-0.92,Graduate
1,1,1,9500,1,1,1900-01-05 22:00:00,1,19,38,7,10,1900-01-05 08:04:00,1,0,0,1,0,1,18,0,0,7,9,7,13:03:00,0,0,8,8,8,14345,0,15:05:00,02:08:00,-4.06,Graduate
1,18,4,9254,1,1,1900-01-04 23:00:00,1,37,37,9,9,1900-01-04 17:01:00,1,0,0,0,1,0,22,0,0,5,5,0,00:00:00,0,0,5,5,0,00:00:00,0,15:05:00,02:08:00,-4.06,Dropout
1,1,3,9238,1,1,1900-01-05 17:00:00,62,1,1,9,9,1900-01-05 09:03:00,0,0,0,1,0,1,21,1,0,6,8,6,13875,0,0,6,7,6,14142857142857100,0,16:02:00,00:03:00,-0.92,Graduate
1,1,1,9238,1,1,1900-01-05 18:00:00,1,1,19,4,7,1900-01-05 03:00:00,1,0,1,0,0,0,18,0,0,6,9,5,11:04:00,0,0,6,14,2,13:05:00,0,08:09:00,01:04:00,03:51:00,Dropout
1,1,1,9670,1,1,1900-01-05 19:00:00,1,38,19,5,7,1900-01-05 10:06:00,1,0,0,1,0,0,18,0,0,6,6,6,12333333333333300,0,0,6,7,5,14:02:00,0,13:09:00,-0.3,0.054861111,Graduate
1,1,1,9500,1,1,1900-01-05 16:00:00,1,19,38,9,9,1900-01-04 23:03:00,1,0,0,1,0,1,18,0,0,8,8,7,13214285714285700,0,0,8,8,7,13214285714285700,0,12:07:00,03:07:00,-1.7,Graduate
1,1,2,9853,1,1,1900-01-05 13:00:00,1,19,37,4,9,1900-01-05 10:02:00,1,0,0,1,0,0,19,0,0,6,6,0,00:00:00,0,0,6,0,0,00:00:00,0,12:07:00,03:07:00,-1.7,Dropout
1,53,1,9254,1,42,1900-01-04 14:00:00,1,1,1,4,7,1900-01-04 15:08:00,1,0,0,1,0,1,21,0,0,6,7,6,10571428571428500,0,0,6,8,5,11:00:00,0,08:09:00,01:04:00,03:51:00,Graduate
1,1,1,9085,1,1,1900-01-06 05:00:00,1,38,37,5,5,1900-01-05 17:01:00,1,0,0,1,0,1,18,0,0,5,7,4,13:25:00,0,0,5,5,5,12:00:00,0,10:08:00,01:04:00,0.093055556,Graduate
1,1,1,9773,1,1,1900-01-05 07:00:00,1,19,37,9,3,1900-01-05 00:07:00,1,0,0,1,0,0,20,0,0,6,6,5,13:02:00,0,0,6,7,0,00:00:00,0,15:05:00,02:08:00,-4.06,Dropout
1,18,1,9238,1,1,1900-01-05 17:00:00,1,19,38,5,8,1900-01-05 17:04:00,1,0,0,1,0,0,18,0,0,6,10,1,12:00:00,0,0,6,14,2,11:00:00,0,10:08:00,01:04:00,0.093055556,Enrolled
1,17,2,9500,1,1,1900-01-05 15:00:00,1,19,1,5,4,1900-01-05 07:03:00,1,0,0,1,0,0,18,0,0,7,8,7,1330625,0,0,8,8,8,14545,0,15:05:00,02:08:00,-4.06,Graduate
1,1,1,9130,1,1,1900-01-05 17:00:00,1,3,19,3,5,1900-01-05 16:03:00,1,0,0,1,0,0,20,0,0,5,8,4,12:05:00,1,0,5,8,4,12:25:00,2,10:08:00,01:04:00,0.093055556,Graduate
1,1,1,9853,1,1,1900-01-05 20:00:00,1,19,19,7,7,1900-01-05 04:06:00,1,0,0,1,0,0,18,0,0,7,7,6,11666666666666600,0,0,7,8,6,13:05:00,0,16:02:00,00:03:00,-0.92,Enrolled
