bahan;warna_kemeja;tipe_kerah;tipe_lengan;motif;posisi_motif;warna_motif;harga;penjualan
Katun Oxford;Hijau;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Army;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Coklat Muda;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Coklat;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Khaki;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Coklat Tua;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Hijau Tua;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Abu Muda;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Maroon;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Abu Tua;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Army;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Coklat;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Terracotta;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Hitam;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Rendah
Katun Oxford;Navy;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Tinggi
Katun Oxford;Hijau;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Abu Muda;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Coklat;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;114000;Rendah
Katun Oxford;Hitam;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
Katun Oxford;Putih;Straight Collar;Lengan Panjang;Polos;Tidak Ada;Tidak Ada;149000;Tinggi
Katun Oxford;Abu Tua;Straight Collar;Lengan Pendek;Polos;Tidak Ada;Tidak Ada;129000;Rendah
